market,date,timestamp,period,interval,price_type,price_rmb_mwh,source,source_url,is_simulated,retrieved_at,schema_version
jiangsu,2026-08-08,2026-08-08T03:15:00+08:00,14,15,day_ahead,249.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T03:30:00+08:00,15,15,day_ahead,248.82,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T03:45:00+08:00,16,15,day_ahead,248.27,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T04:00:00+08:00,17,15,day_ahead,247.38,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T04:15:00+08:00,18,15,day_ahead,246.14,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T04:30:00+08:00,19,15,day_ahead,244.57,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T04:45:00+08:00,20,15,day_ahead,242.71,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T05:00:00+08:00,21,15,day_ahead,240.58,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T05:15:00+08:00,22,15,day_ahead,238.2,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T05:30:00+08:00,23,15,day_ahead,235.62,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T05:45:00+08:00,24,15,day_ahead,232.87,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T06:00:00+08:00,25,15,day_ahead,229.98,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T06:15:00+08:00,26,15,day_ahead,227.01,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T06:30:00+08:00,27,15,day_ahead,280.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T06:45:00+08:00,28,15,day_ahead,310.07,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T07:00:00+08:00,29,15,day_ahead,354.04,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T07:15:00+08:00,30,15,day_ahead,405.43,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T07:30:00+08:00,31,15,day_ahead,462.32,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T07:45:00+08:00,32,15,day_ahead,523.68,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T08:00:00+08:00,33,15,day_ahead,588.85,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T08:15:00+08:00,34,15,day_ahead,657.38,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T08:30:00+08:00,35,15,day_ahead,728.92,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T08:45:00+08:00,36,15,day_ahead,803.2,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T09:00:00+08:00,37,15,day_ahead,840.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T09:15:00+08:00,38,15,day_ahead,889.44,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T09:30:00+08:00,39,15,day_ahead,934.05,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T09:45:00+08:00,40,15,day_ahead,969.44,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T10:00:00+08:00,41,15,day_ahead,992.17,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T10:15:00+08:00,42,15,day_ahead,1000.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T10:30:00+08:00,43,15,day_ahead,992.17,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T10:45:00+08:00,44,15,day_ahead,969.44,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T11:00:00+08:00,45,15,day_ahead,934.05,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T11:15:00+08:00,46,15,day_ahead,889.44,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T11:30:00+08:00,47,15,day_ahead,690.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T11:45:00+08:00,48,15,day_ahead,650.98,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T12:00:00+08:00,49,15,day_ahead,613.46,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T12:15:00+08:00,50,15,day_ahead,578.89,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T12:30:00+08:00,51,15,day_ahead,548.58,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T12:45:00+08:00,52,15,day_ahead,523.71,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T13:00:00+08:00,53,15,day_ahead,505.22,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T13:15:00+08:00,54,15,day_ahead,493.84,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T13:30:00+08:00,55,15,day_ahead,490.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T13:45:00+08:00,56,15,day_ahead,493.84,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T14:00:00+08:00,57,15,day_ahead,505.22,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T14:15:00+08:00,58,15,day_ahead,523.71,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T14:30:00+08:00,59,15,day_ahead,548.58,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T14:45:00+08:00,60,15,day_ahead,578.89,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T15:00:00+08:00,61,15,day_ahead,613.46,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T15:15:00+08:00,62,15,day_ahead,650.98,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T15:30:00+08:00,63,15,day_ahead,540.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T15:45:00+08:00,64,15,day_ahead,571.67,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T16:00:00+08:00,65,15,day_ahead,603.33,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T16:15:00+08:00,66,15,day_ahead,635.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T16:30:00+08:00,67,15,day_ahead,666.67,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T16:45:00+08:00,68,15,day_ahead,698.33,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T17:00:00+08:00,69,15,day_ahead,730.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T17:15:00+08:00,70,15,day_ahead,761.67,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T17:30:00+08:00,71,15,day_ahead,793.33,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T17:45:00+08:00,72,15,day_ahead,825.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T18:00:00+08:00,73,15,day_ahead,856.67,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T18:15:00+08:00,74,15,day_ahead,888.33,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T18:30:00+08:00,75,15,day_ahead,932.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T18:45:00+08:00,76,15,day_ahead,988.94,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T19:00:00+08:00,77,15,day_ahead,1042.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T19:15:00+08:00,78,15,day_ahead,1087.56,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T19:30:00+08:00,79,15,day_ahead,1122.53,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T19:45:00+08:00,80,15,day_ahead,1144.5,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T20:00:00+08:00,81,15,day_ahead,1152.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T20:15:00+08:00,82,15,day_ahead,1144.5,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T20:30:00+08:00,83,15,day_ahead,1122.53,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T20:45:00+08:00,84,15,day_ahead,1087.56,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T21:00:00+08:00,85,15,day_ahead,1042.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T21:15:00+08:00,86,15,day_ahead,988.94,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T21:30:00+08:00,87,15,day_ahead,850.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T21:45:00+08:00,88,15,day_ahead,798.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T22:00:00+08:00,89,15,day_ahead,746.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T22:15:00+08:00,90,15,day_ahead,694.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T22:30:00+08:00,91,15,day_ahead,642.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T22:45:00+08:00,92,15,day_ahead,590.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T23:00:00+08:00,93,15,day_ahead,538.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T23:15:00+08:00,94,15,day_ahead,486.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T23:30:00+08:00,95,15,day_ahead,434.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-08,2026-08-08T23:45:00+08:00,96,15,day_ahead,382.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T00:00:00+08:00,1,15,day_ahead,230.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T00:15:00+08:00,2,15,day_ahead,233.01,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T00:30:00+08:00,3,15,day_ahead,235.98,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T00:45:00+08:00,4,15,day_ahead,238.87,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T01:00:00+08:00,5,15,day_ahead,241.62,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T01:15:00+08:00,6,15,day_ahead,244.2,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T01:30:00+08:00,7,15,day_ahead,246.58,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T01:45:00+08:00,8,15,day_ahead,248.71,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T02:00:00+08:00,9,15,day_ahead,250.57,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T02:15:00+08:00,10,15,day_ahead,252.14,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T02:30:00+08:00,11,15,day_ahead,253.38,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T02:45:00+08:00,12,15,day_ahead,254.27,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T03:00:00+08:00,13,15,day_ahead,254.82,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T03:15:00+08:00,14,15,day_ahead,255.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T03:30:00+08:00,15,15,day_ahead,254.82,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T03:45:00+08:00,16,15,day_ahead,254.27,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T04:00:00+08:00,17,15,day_ahead,253.38,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T04:15:00+08:00,18,15,day_ahead,252.14,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T04:30:00+08:00,19,15,day_ahead,250.57,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T04:45:00+08:00,20,15,day_ahead,248.71,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T05:00:00+08:00,21,15,day_ahead,246.58,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T05:15:00+08:00,22,15,day_ahead,244.2,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T05:30:00+08:00,23,15,day_ahead,241.62,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T05:45:00+08:00,24,15,day_ahead,238.87,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T06:00:00+08:00,25,15,day_ahead,235.98,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T06:15:00+08:00,26,15,day_ahead,233.01,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T06:30:00+08:00,27,15,day_ahead,280.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T06:45:00+08:00,28,15,day_ahead,310.07,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T07:00:00+08:00,29,15,day_ahead,354.04,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T07:15:00+08:00,30,15,day_ahead,405.43,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T07:30:00+08:00,31,15,day_ahead,462.32,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-09,2026-08-09T07:45:00+08:00,32,15,day_ahead,523.68,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
